"comparison","Category","Subcategory","Enrichment","Q_value","Observed","miRNAs_with_rank"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Signal Transduction","enriched",0.0128207,63,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-218-5p (#6, logFC=1.329); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-30a-5p (#12, logFC=0.714); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-19b-3p (#15, logFC=0.662); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-15a-5p (#21, logFC=0.601); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-204-5p (#24, logFC=0.728); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-451a (#39, logFC=0.639); hsa-miR-335-5p (#42, logFC=0.467); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-9-5p (#48, logFC=0.426); hsa-miR-194-5p (#50, logFC=0.369); hsa-miR-16-5p (#52, logFC=0.316); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-9-3p (#59, logFC=0.262); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-106b-5p (#64, logFC=0.207); hsa-miR-193b-3p (#65, logFC=0.203); hsa-miR-146b-5p (#66, logFC=0.262); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-20a-5p (#70, logFC=0.177); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-487b-3p (#75, logFC=0.152); hsa-miR-744-5p (#76, logFC=0.124); hsa-miR-26a-5p (#77, logFC=0.090); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-135a-5p (#84, logFC=0.094); hsa-miR-27b-3p (#86, logFC=0.053); hsa-miR-149-5p (#88, logFC=0.047); hsa-miR-107 (#94, logFC=-0.000); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-30c-5p (#101, logFC=-0.027); hsa-miR-423-3p (#108, logFC=-0.060); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-30a-3p (#112, logFC=-0.134); hsa-miR-152-3p (#114, logFC=-0.164); hsa-miR-98-5p (#116, logFC=-0.151); hsa-miR-103a-3p (#117, logFC=-0.152); hsa-miR-23a-3p (#125, logFC=-0.228); hsa-miR-182-5p (#130, logFC=-0.432); hsa-miR-454-3p (#132, logFC=-0.295); hsa-miR-132-3p (#133, logFC=-0.344); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-17-5p (#143, logFC=-0.428); hsa-miR-181a-5p (#155, logFC=-0.542); hsa-miR-93-5p (#165, logFC=-0.659); hsa-miR-23b-3p (#169, logFC=-0.643); hsa-miR-15b-5p (#170, logFC=-0.770)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Regulation of localization of FOXO transcription factors","enriched",0.0130031,12,"hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-222-3p (#38, logFC=0.404); hsa-miR-744-5p (#76, logFC=0.124); hsa-miR-423-3p (#108, logFC=-0.060); hsa-miR-30a-3p (#112, logFC=-0.134)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Activation of BAD and translocation to mitochondria","enriched",0.0142888,20,"hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-15a-5p (#21, logFC=0.601); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-365a-3p (#35, logFC=0.418); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-409-3p (#71, logFC=0.180); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-30a-3p (#112, logFC=-0.134); hsa-miR-30e-3p (#120, logFC=-0.197); hsa-miR-15b-5p (#170, logFC=-0.770); hsa-let-7e-5p (#178, logFC=-0.985)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Interleukin-4 and Interleukin-13 signaling","enriched",0.0161357,49,"hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-15a-5p (#21, logFC=0.601); hsa-miR-186-5p (#25, logFC=0.623); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-365a-3p (#35, logFC=0.418); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-222-3p (#38, logFC=0.404); hsa-miR-451a (#39, logFC=0.639); hsa-miR-335-5p (#42, logFC=0.467); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-495-3p (#44, logFC=0.451); hsa-miR-126-5p (#47, logFC=0.413); hsa-miR-9-5p (#48, logFC=0.426); hsa-miR-16-5p (#52, logFC=0.316); hsa-let-7g-5p (#57, logFC=0.234); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-199a-3p (#62, logFC=0.326); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-26a-5p (#77, logFC=0.090); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-134-5p (#81, logFC=0.086); hsa-miR-135a-5p (#84, logFC=0.094); hsa-miR-107 (#94, logFC=-0.000); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-30c-5p (#101, logFC=-0.027); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-152-3p (#114, logFC=-0.164); hsa-miR-98-5p (#116, logFC=-0.151); hsa-miR-95-3p (#118, logFC=-0.227); hsa-miR-23a-3p (#125, logFC=-0.228); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-17-5p (#143, logFC=-0.428); hsa-miR-181a-5p (#155, logFC=-0.542); hsa-miR-93-5p (#165, logFC=-0.659); hsa-miR-15b-5p (#170, logFC=-0.770); hsa-let-7c-5p (#179, logFC=-1.416)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Signaling by Interleukins","enriched",0.0168131,51,"hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-15a-5p (#21, logFC=0.601); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-186-5p (#25, logFC=0.623); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-365a-3p (#35, logFC=0.418); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-222-3p (#38, logFC=0.404); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-24-3p (#49, logFC=0.258); hsa-miR-194-5p (#50, logFC=0.369); hsa-miR-16-5p (#52, logFC=0.316); hsa-miR-185-5p (#55, logFC=0.241); hsa-let-7g-5p (#57, logFC=0.234); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-9-3p (#59, logFC=0.262); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-199a-3p (#62, logFC=0.326); hsa-miR-146b-5p (#66, logFC=0.262); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-134-5p (#81, logFC=0.086); hsa-miR-135a-5p (#84, logFC=0.094); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-30c-5p (#101, logFC=-0.027); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-152-3p (#114, logFC=-0.164); hsa-miR-98-5p (#116, logFC=-0.151); hsa-miR-95-3p (#118, logFC=-0.227); hsa-miR-331-3p (#121, logFC=-0.189); hsa-miR-23a-3p (#125, logFC=-0.228); hsa-miR-132-3p (#133, logFC=-0.344); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-181a-5p (#155, logFC=-0.542); hsa-miR-23b-3p (#169, logFC=-0.643); hsa-miR-15b-5p (#170, logFC=-0.770); hsa-let-7a-5p (#173, logFC=-0.884); hsa-let-7c-5p (#179, logFC=-1.416)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Assembly of collagen fibrils and other multimeric structures","enriched",0.0196509,5,"hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-335-5p (#42, logFC=0.467)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Interconversion of nucleotide di- and triphosphates","depleted",0.0210648,5,"hsa-miR-34a-5p (#43, logFC=0.394); hsa-let-7a-5p (#173, logFC=-0.884); hsa-let-7b-5p (#176, logFC=-1.039); hsa-let-7e-5p (#178, logFC=-0.985); hsa-let-7c-5p (#179, logFC=-1.416)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","SUMOylation of SUMOylation proteins","depleted",0.034526,8,"hsa-miR-423-3p (#108, logFC=-0.060); hsa-miR-30a-3p (#112, logFC=-0.134); hsa-miR-324-5p (#124, logFC=-0.242); hsa-miR-652-3p (#127, logFC=-0.238); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-1180-3p (#138, logFC=-0.408); hsa-miR-15b-5p (#170, logFC=-0.770); hsa-let-7b-5p (#176, logFC=-1.039)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","tRNA processing in the mitochondrion","depleted",0.049638,10,"hsa-miR-186-5p (#25, logFC=0.623); hsa-miR-744-5p (#76, logFC=0.124); hsa-miR-652-3p (#127, logFC=-0.238); hsa-miR-99a-5p (#134, logFC=-0.326); hsa-miR-320c (#139, logFC=-0.432); hsa-miR-196a-5p (#157, logFC=-1.301); hsa-let-7a-5p (#173, logFC=-0.884); hsa-let-7b-5p (#176, logFC=-1.039); hsa-let-7e-5p (#178, logFC=-0.985); hsa-let-7c-5p (#179, logFC=-1.416)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","regulation of intracellular signal transduction","enriched",0.000412485879,53,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-218-5p (#6, logFC=1.329); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-19b-3p (#15, logFC=0.662); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-15a-5p (#21, logFC=0.601); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-204-5p (#24, logFC=0.728); hsa-miR-186-5p (#25, logFC=0.623); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-222-3p (#38, logFC=0.404); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-194-5p (#50, logFC=0.369); hsa-miR-16-5p (#52, logFC=0.316); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-128-3p (#61, logFC=0.295); hsa-miR-199a-3p (#62, logFC=0.326); hsa-miR-106b-5p (#64, logFC=0.207); hsa-miR-193b-3p (#65, logFC=0.203); hsa-miR-146b-5p (#66, logFC=0.262); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-20a-5p (#70, logFC=0.177); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-487b-3p (#75, logFC=0.152); hsa-miR-744-5p (#76, logFC=0.124); hsa-miR-26a-5p (#77, logFC=0.090); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-135a-5p (#84, logFC=0.094); hsa-miR-107 (#94, logFC=-0.000); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-182-5p (#130, logFC=-0.432); hsa-miR-132-3p (#133, logFC=-0.344); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-17-5p (#143, logFC=-0.428); hsa-miR-181a-5p (#155, logFC=-0.542); hsa-miR-10b-5p (#164, logFC=-1.245); hsa-miR-93-5p (#165, logFC=-0.659); hsa-miR-15b-5p (#170, logFC=-0.770)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","generation of neurons","enriched",0.00053676714,35,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-218-5p (#6, logFC=1.329); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-30a-5p (#12, logFC=0.714); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-204-5p (#24, logFC=0.728); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-127-3p (#29, logFC=0.524); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-222-3p (#38, logFC=0.404); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-495-3p (#44, logFC=0.451); hsa-miR-9-5p (#48, logFC=0.426); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-9-3p (#59, logFC=0.262); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-128-3p (#61, logFC=0.295); hsa-miR-135a-5p (#84, logFC=0.094); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-30c-5p (#101, logFC=-0.027); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-132-3p (#133, logFC=-0.344); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-148b-3p (#150, logFC=-0.497); hsa-miR-181a-5p (#155, logFC=-0.542)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","neurogenesis","enriched",0.000801891935,34,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-218-5p (#6, logFC=1.329); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-30a-5p (#12, logFC=0.714); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-204-5p (#24, logFC=0.728); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-127-3p (#29, logFC=0.524); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-222-3p (#38, logFC=0.404); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-495-3p (#44, logFC=0.451); hsa-miR-9-5p (#48, logFC=0.426); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-9-3p (#59, logFC=0.262); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-135a-5p (#84, logFC=0.094); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-30c-5p (#101, logFC=-0.027); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-132-3p (#133, logFC=-0.344); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-148b-3p (#150, logFC=-0.497); hsa-miR-181a-5p (#155, logFC=-0.542)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","cell migration","enriched",0.000913493555,36,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-218-5p (#6, logFC=1.329); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-30a-5p (#12, logFC=0.714); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-204-5p (#24, logFC=0.728); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-451a (#39, logFC=0.639); hsa-miR-26b-5p (#41, logFC=0.332); hsa-miR-335-5p (#42, logFC=0.467); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-495-3p (#44, logFC=0.451); hsa-miR-9-5p (#48, logFC=0.426); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-128-3p (#61, logFC=0.295); hsa-miR-199a-3p (#62, logFC=0.326); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-26a-5p (#77, logFC=0.090); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-135a-5p (#84, logFC=0.094); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-23a-3p (#125, logFC=-0.228); hsa-miR-182-5p (#130, logFC=-0.432); hsa-miR-181a-5p (#155, logFC=-0.542)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","locomotion","enriched",0.000913493555,35,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-218-5p (#6, logFC=1.329); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-204-5p (#24, logFC=0.728); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-451a (#39, logFC=0.639); hsa-miR-335-5p (#42, logFC=0.467); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-9-5p (#48, logFC=0.426); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-128-3p (#61, logFC=0.295); hsa-miR-199a-3p (#62, logFC=0.326); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-135a-5p (#84, logFC=0.094); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-182-5p (#130, logFC=-0.432); hsa-miR-148b-3p (#150, logFC=-0.497); hsa-miR-181a-5p (#155, logFC=-0.542)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","regulation of cell motility","enriched",0.000913493555,39,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-218-5p (#6, logFC=1.329); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-204-5p (#24, logFC=0.728); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-222-3p (#38, logFC=0.404); hsa-miR-451a (#39, logFC=0.639); hsa-miR-335-5p (#42, logFC=0.467); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-495-3p (#44, logFC=0.451); hsa-miR-9-5p (#48, logFC=0.426); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-128-3p (#61, logFC=0.295); hsa-miR-199a-3p (#62, logFC=0.326); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-26a-5p (#77, logFC=0.090); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-135a-5p (#84, logFC=0.094); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-152-3p (#114, logFC=-0.164); hsa-miR-23a-3p (#125, logFC=-0.228); hsa-miR-182-5p (#130, logFC=-0.432); hsa-miR-181a-5p (#155, logFC=-0.542)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","cell motility","enriched",0.001811,37,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-218-5p (#6, logFC=1.329); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-204-5p (#24, logFC=0.728); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-451a (#39, logFC=0.639); hsa-miR-335-5p (#42, logFC=0.467); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-495-3p (#44, logFC=0.451); hsa-miR-9-5p (#48, logFC=0.426); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-128-3p (#61, logFC=0.295); hsa-miR-199a-3p (#62, logFC=0.326); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-26a-5p (#77, logFC=0.090); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-135a-5p (#84, logFC=0.094); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-23a-3p (#125, logFC=-0.228); hsa-miR-182-5p (#130, logFC=-0.432); hsa-miR-148b-3p (#150, logFC=-0.497); hsa-miR-181a-5p (#155, logFC=-0.542)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","female pregnancy","enriched",0.001811,20,"hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-204-5p (#24, logFC=0.728); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-222-3p (#38, logFC=0.404); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-9-5p (#48, logFC=0.426); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-199a-3p (#62, logFC=0.326); hsa-miR-152-3p (#114, logFC=-0.164); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-181a-5p (#155, logFC=-0.542)"
