"comparison","Category","Subcategory","Enrichment","Q_value","Observed","miRNAs_with_rank"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","transmembrane receptor protein tyrosine kinase signaling pathway","enriched",0.0011554,38,"hsa-miR-135a-5p (#212, logFC=0.877); hsa-miR-148a-3p (#346, logFC=0.628); hsa-miR-30a-5p (#397, logFC=0.563); hsa-miR-204-5p (#307, logFC=0.687); hsa-miR-451a (#360, logFC=0.601); hsa-miR-223-3p (#536, logFC=0.418); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-15a-5p (#727, logFC=0.292); hsa-miR-221-3p (#687, logFC=0.310); hsa-miR-497-5p (#757, logFC=0.276); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-218-5p (#552, logFC=0.406); hsa-miR-194-5p (#829, logFC=0.242); hsa-miR-19b-3p (#846, logFC=0.230); hsa-miR-195-5p (#996, logFC=0.151); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-495-3p (#946, logFC=0.173); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-125b-5p (#1173, logFC=0.070); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-182-5p (#1193, logFC=0.062); hsa-miR-152-3p (#1275, logFC=0.020); hsa-miR-424-5p (#1305, logFC=0.008); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-128-3p (#1295, logFC=-0.013); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-139-5p (#1168, logFC=-0.073); hsa-miR-30a-3p (#1194, logFC=-0.061); hsa-miR-185-5p (#1145, logFC=-0.084); hsa-miR-132-3p (#1100, logFC=-0.108); hsa-miR-145-5p (#1052, logFC=-0.129); hsa-miR-125a-5p (#932, logFC=-0.184); hsa-miR-378a-3p (#901, logFC=-0.200); hsa-miR-138-5p (#380, logFC=-0.583); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-15b-5p (#208, logFC=-0.886)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","cell morphogenesis involved in neuron differentiation","enriched",0.0015209,15,"hsa-miR-9-5p (#258, logFC=0.781); hsa-miR-135a-5p (#212, logFC=0.877); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-204-5p (#307, logFC=0.687); hsa-miR-376c-3p (#386, logFC=0.572); hsa-miR-451a (#360, logFC=0.601); hsa-miR-223-3p (#536, logFC=0.418); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-218-5p (#552, logFC=0.406); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-222-3p (#1183, logFC=0.066); hsa-miR-17-5p (#264, logFC=-0.771)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","anatomical structure formation involved in morphogenesis","enriched",0.0016181,41,"hsa-miR-9-5p (#258, logFC=0.781); hsa-miR-148a-3p (#346, logFC=0.628); hsa-miR-30a-5p (#397, logFC=0.563); hsa-miR-204-5p (#307, logFC=0.687); hsa-miR-30e-5p (#545, logFC=0.411); hsa-miR-451a (#360, logFC=0.601); hsa-miR-223-3p (#536, logFC=0.418); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-335-5p (#523, logFC=0.430); hsa-miR-221-3p (#687, logFC=0.310); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-218-5p (#552, logFC=0.406); hsa-miR-29c-3p (#814, logFC=0.250); hsa-miR-19b-3p (#846, logFC=0.230); hsa-miR-127-3p (#917, logFC=0.190); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-495-3p (#946, logFC=0.173); hsa-miR-210-3p (#1070, logFC=0.122); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-125b-5p (#1173, logFC=0.070); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-182-5p (#1193, logFC=0.062); hsa-miR-152-3p (#1275, logFC=0.020); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-128-3p (#1295, logFC=-0.013); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-30d-5p (#1273, logFC=-0.021); hsa-miR-30b-5p (#1210, logFC=-0.051); hsa-miR-30a-3p (#1194, logFC=-0.061); hsa-miR-30c-5p (#1216, logFC=-0.049); hsa-miR-145-5p (#1052, logFC=-0.129); hsa-miR-125a-5p (#932, logFC=-0.184); hsa-miR-26a-5p (#916, logFC=-0.190); hsa-miR-107 (#760, logFC=-0.275); hsa-miR-146a-5p (#585, logFC=-0.374); hsa-miR-138-5p (#380, logFC=-0.583); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-181a-5p (#361, logFC=-0.601); hsa-miR-148b-3p (#342, logFC=-0.630)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","cell part morphogenesis","enriched",0.0016181,17,"hsa-miR-9-5p (#258, logFC=0.781); hsa-miR-135a-5p (#212, logFC=0.877); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-30a-5p (#397, logFC=0.563); hsa-miR-376c-3p (#386, logFC=0.572); hsa-miR-451a (#360, logFC=0.601); hsa-miR-223-3p (#536, logFC=0.418); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-218-5p (#552, logFC=0.406); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-222-3p (#1183, logFC=0.066); hsa-miR-146a-5p (#585, logFC=-0.374); hsa-miR-148b-3p (#342, logFC=-0.630)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","regulation of cellular component movement","enriched",0.0016181,43,"hsa-miR-27a-3p (#215, logFC=0.875); hsa-miR-9-5p (#258, logFC=0.781); hsa-miR-135a-5p (#212, logFC=0.877); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-148a-3p (#346, logFC=0.628); hsa-miR-204-5p (#307, logFC=0.687); hsa-miR-376c-3p (#386, logFC=0.572); hsa-miR-451a (#360, logFC=0.601); hsa-miR-223-3p (#536, logFC=0.418); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-335-5p (#523, logFC=0.430); hsa-miR-221-3p (#687, logFC=0.310); hsa-miR-497-5p (#757, logFC=0.276); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-218-5p (#552, logFC=0.406); hsa-miR-29c-3p (#814, logFC=0.250); hsa-miR-195-5p (#996, logFC=0.151); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-495-3p (#946, logFC=0.173); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-222-3p (#1183, logFC=0.066); hsa-miR-182-5p (#1193, logFC=0.062); hsa-miR-152-3p (#1275, logFC=0.020); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-128-3p (#1295, logFC=-0.013); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-139-5p (#1168, logFC=-0.073); hsa-miR-30a-3p (#1194, logFC=-0.061); hsa-miR-23a-3p (#1184, logFC=-0.065); hsa-miR-185-5p (#1145, logFC=-0.084); hsa-miR-132-3p (#1100, logFC=-0.108); hsa-miR-145-5p (#1052, logFC=-0.129); hsa-miR-125a-5p (#932, logFC=-0.184); hsa-miR-26a-5p (#916, logFC=-0.190); hsa-miR-146a-5p (#585, logFC=-0.374); hsa-miR-574-3p (#650, logFC=-0.330); hsa-miR-138-5p (#380, logFC=-0.583); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-125b-1-3p (#478, logFC=-0.470); hsa-miR-181a-5p (#361, logFC=-0.601)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","axon development","enriched",0.0017859,14,"hsa-miR-9-5p (#258, logFC=0.781); hsa-miR-135a-5p (#212, logFC=0.877); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-30a-5p (#397, logFC=0.563); hsa-miR-376c-3p (#386, logFC=0.572); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-218-5p (#552, logFC=0.406); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-222-3p (#1183, logFC=0.066); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-29b-3p (#1292, logFC=-0.014)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","reproduction","enriched",0.0017859,25,"hsa-miR-27a-3p (#215, logFC=0.875); hsa-miR-9-5p (#258, logFC=0.781); hsa-miR-135a-5p (#212, logFC=0.877); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-148a-3p (#346, logFC=0.628); hsa-miR-204-5p (#307, logFC=0.687); hsa-miR-451a (#360, logFC=0.601); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-335-5p (#523, logFC=0.430); hsa-miR-221-3p (#687, logFC=0.310); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-125b-5p (#1173, logFC=0.070); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-222-3p (#1183, logFC=0.066); hsa-miR-182-5p (#1193, logFC=0.062); hsa-miR-152-3p (#1275, logFC=0.020); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-378a-3p (#901, logFC=-0.200); hsa-miR-138-5p (#380, logFC=-0.583); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-181a-5p (#361, logFC=-0.601)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","reproductive process","enriched",0.0017859,25,"hsa-miR-27a-3p (#215, logFC=0.875); hsa-miR-9-5p (#258, logFC=0.781); hsa-miR-135a-5p (#212, logFC=0.877); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-148a-3p (#346, logFC=0.628); hsa-miR-204-5p (#307, logFC=0.687); hsa-miR-451a (#360, logFC=0.601); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-335-5p (#523, logFC=0.430); hsa-miR-221-3p (#687, logFC=0.310); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-125b-5p (#1173, logFC=0.070); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-222-3p (#1183, logFC=0.066); hsa-miR-182-5p (#1193, logFC=0.062); hsa-miR-152-3p (#1275, logFC=0.020); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-378a-3p (#901, logFC=-0.200); hsa-miR-138-5p (#380, logFC=-0.583); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-181a-5p (#361, logFC=-0.601)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","system development","enriched",0.0017859,56,"hsa-miR-708-5p (#179, logFC=0.955); hsa-miR-27a-3p (#215, logFC=0.875); hsa-miR-196a-5p (#112, logFC=1.117); hsa-miR-9-5p (#258, logFC=0.781); hsa-miR-135a-5p (#212, logFC=0.877); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-148a-3p (#346, logFC=0.628); hsa-miR-204-5p (#307, logFC=0.687); hsa-miR-451a (#360, logFC=0.601); hsa-miR-223-3p (#536, logFC=0.418); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-335-5p (#523, logFC=0.430); hsa-miR-15a-5p (#727, logFC=0.292); hsa-miR-221-3p (#687, logFC=0.310); hsa-miR-497-5p (#757, logFC=0.276); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-218-5p (#552, logFC=0.406); hsa-miR-29c-3p (#814, logFC=0.250); hsa-miR-19b-3p (#846, logFC=0.230); hsa-miR-127-3p (#917, logFC=0.190); hsa-miR-195-5p (#996, logFC=0.151); hsa-miR-143-3p (#999, logFC=0.150); hsa-miR-495-3p (#946, logFC=0.173); hsa-miR-210-3p (#1070, logFC=0.122); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-126-5p (#1126, logFC=0.094); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-125b-5p (#1173, logFC=0.070); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-222-3p (#1183, logFC=0.066); hsa-miR-182-5p (#1193, logFC=0.062); hsa-miR-152-3p (#1275, logFC=0.020); hsa-miR-424-5p (#1305, logFC=0.008); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-128-3p (#1295, logFC=-0.013); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-30a-3p (#1194, logFC=-0.061); hsa-miR-30c-5p (#1216, logFC=-0.049); hsa-miR-185-5p (#1145, logFC=-0.084); hsa-miR-132-3p (#1100, logFC=-0.108); hsa-miR-145-5p (#1052, logFC=-0.129); hsa-miR-744-5p (#983, logFC=-0.156); hsa-miR-27b-3p (#960, logFC=-0.167); hsa-miR-125a-5p (#932, logFC=-0.184); hsa-miR-378a-3p (#901, logFC=-0.200); hsa-miR-146a-5p (#585, logFC=-0.374); hsa-miR-574-3p (#650, logFC=-0.330); hsa-miR-486-3p (#507, logFC=-0.442); hsa-miR-138-5p (#380, logFC=-0.583); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-320c (#239, logFC=-0.808); hsa-miR-181a-5p (#361, logFC=-0.601); hsa-miR-148b-3p (#342, logFC=-0.630); hsa-miR-92a-3p (#350, logFC=-0.623); hsa-miR-15b-5p (#208, logFC=-0.886)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","signal transduction","enriched",0.0020298,54,"hsa-miR-708-5p (#179, logFC=0.955); hsa-miR-27a-3p (#215, logFC=0.875); hsa-miR-9-5p (#258, logFC=0.781); hsa-miR-135a-5p (#212, logFC=0.877); hsa-miR-148a-3p (#346, logFC=0.628); hsa-miR-204-5p (#307, logFC=0.687); hsa-miR-376c-3p (#386, logFC=0.572); hsa-miR-451a (#360, logFC=0.601); hsa-miR-223-3p (#536, logFC=0.418); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-335-5p (#523, logFC=0.430); hsa-miR-15a-5p (#727, logFC=0.292); hsa-miR-221-3p (#687, logFC=0.310); hsa-miR-497-5p (#757, logFC=0.276); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-218-5p (#552, logFC=0.406); hsa-miR-194-5p (#829, logFC=0.242); hsa-miR-29c-3p (#814, logFC=0.250); hsa-miR-19b-3p (#846, logFC=0.230); hsa-miR-26b-5p (#997, logFC=0.150); hsa-miR-195-5p (#996, logFC=0.151); hsa-miR-30e-3p (#1122, logFC=0.098); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-125b-5p (#1173, logFC=0.070); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-182-5p (#1193, logFC=0.062); hsa-miR-106b-5p (#1231, logFC=0.042); hsa-miR-152-3p (#1275, logFC=0.020); hsa-miR-424-5p (#1305, logFC=0.008); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-128-3p (#1295, logFC=-0.013); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-139-5p (#1168, logFC=-0.073); hsa-miR-30a-3p (#1194, logFC=-0.061); hsa-miR-30c-5p (#1216, logFC=-0.049); hsa-miR-185-5p (#1145, logFC=-0.084); hsa-miR-132-3p (#1100, logFC=-0.108); hsa-miR-331-3p (#1083, logFC=-0.115); hsa-miR-145-5p (#1052, logFC=-0.129); hsa-miR-744-5p (#983, logFC=-0.156); hsa-miR-27b-3p (#960, logFC=-0.167); hsa-miR-125a-5p (#932, logFC=-0.184); hsa-miR-26a-5p (#916, logFC=-0.190); hsa-miR-98-5p (#827, logFC=-0.242); hsa-miR-146a-5p (#585, logFC=-0.374); hsa-miR-138-5p (#380, logFC=-0.583); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-125b-1-3p (#478, logFC=-0.470); hsa-miR-181a-5p (#361, logFC=-0.601); hsa-miR-148b-3p (#342, logFC=-0.630); hsa-miR-17-5p (#264, logFC=-0.771); hsa-miR-15b-5p (#208, logFC=-0.886)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","cell projection morphogenesis","enriched",0.0020333,16,"hsa-miR-9-5p (#258, logFC=0.781); hsa-miR-135a-5p (#212, logFC=0.877); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-376c-3p (#386, logFC=0.572); hsa-miR-451a (#360, logFC=0.601); hsa-miR-223-3p (#536, logFC=0.418); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-218-5p (#552, logFC=0.406); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-222-3p (#1183, logFC=0.066); hsa-miR-146a-5p (#585, logFC=-0.374); hsa-miR-17-5p (#264, logFC=-0.771)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","multicellular organism development","enriched",0.0020618,55,"hsa-miR-708-5p (#179, logFC=0.955); hsa-miR-27a-3p (#215, logFC=0.875); hsa-miR-196a-5p (#112, logFC=1.117); hsa-miR-9-5p (#258, logFC=0.781); hsa-miR-135a-5p (#212, logFC=0.877); hsa-miR-9-3p (#384, logFC=0.580); hsa-miR-148a-3p (#346, logFC=0.628); hsa-miR-204-5p (#307, logFC=0.687); hsa-miR-451a (#360, logFC=0.601); hsa-miR-223-3p (#536, logFC=0.418); hsa-miR-34a-5p (#691, logFC=0.310); hsa-miR-335-5p (#523, logFC=0.430); hsa-miR-15a-5p (#727, logFC=0.292); hsa-miR-221-3p (#687, logFC=0.310); hsa-miR-497-5p (#757, logFC=0.276); hsa-miR-126-3p (#797, logFC=0.257); hsa-miR-22-3p (#750, logFC=0.280); hsa-miR-218-5p (#552, logFC=0.406); hsa-miR-29c-3p (#814, logFC=0.250); hsa-miR-19b-3p (#846, logFC=0.230); hsa-miR-127-3p (#917, logFC=0.190); hsa-miR-195-5p (#996, logFC=0.151); hsa-miR-495-3p (#946, logFC=0.173); hsa-miR-210-3p (#1070, logFC=0.122); hsa-miR-124-3p (#909, logFC=0.194); hsa-miR-126-5p (#1126, logFC=0.094); hsa-miR-29a-3p (#1162, logFC=0.075); hsa-miR-125b-5p (#1173, logFC=0.070); hsa-miR-21-5p (#1087, logFC=0.114); hsa-miR-222-3p (#1183, logFC=0.066); hsa-miR-182-5p (#1193, logFC=0.062); hsa-miR-152-3p (#1275, logFC=0.020); hsa-miR-424-5p (#1305, logFC=0.008); hsa-miR-101-3p (#1310, logFC=-0.005); hsa-miR-128-3p (#1295, logFC=-0.013); hsa-miR-29b-3p (#1292, logFC=-0.014); hsa-miR-30a-3p (#1194, logFC=-0.061); hsa-miR-30c-5p (#1216, logFC=-0.049); hsa-miR-185-5p (#1145, logFC=-0.084); hsa-miR-132-3p (#1100, logFC=-0.108); hsa-miR-145-5p (#1052, logFC=-0.129); hsa-miR-744-5p (#983, logFC=-0.156); hsa-miR-27b-3p (#960, logFC=-0.167); hsa-miR-125a-5p (#932, logFC=-0.184); hsa-miR-378a-3p (#901, logFC=-0.200); hsa-miR-146a-5p (#585, logFC=-0.374); hsa-miR-574-3p (#650, logFC=-0.330); hsa-miR-486-3p (#507, logFC=-0.442); hsa-miR-138-5p (#380, logFC=-0.583); hsa-miR-155-5p (#339, logFC=-0.638); hsa-miR-320c (#239, logFC=-0.808); hsa-miR-181a-5p (#361, logFC=-0.601); hsa-miR-148b-3p (#342, logFC=-0.630); hsa-miR-423-5p (#154, logFC=-1.016); hsa-miR-15b-5p (#208, logFC=-0.886)"
"EDAD_cont_10y","KEGG (miRPathDB)","T cell receptor signaling pathway","enriched",0.000539226783333333,26,"hsa-miR-451a (#33, logFC=0.399); hsa-miR-27a-3p (#300, logFC=0.191); hsa-miR-34a-5p (#511, logFC=0.137); hsa-miR-9-3p (#352, logFC=0.182); hsa-miR-424-5p (#228, logFC=0.221); hsa-miR-497-5p (#588, logFC=0.124); hsa-miR-196b-5p (#347, logFC=0.183); hsa-miR-204-5p (#411, logFC=0.160); hsa-miR-708-5p (#776, logFC=0.093); hsa-miR-126-3p (#747, logFC=0.099); hsa-miR-125b-5p (#962, logFC=0.070); hsa-miR-29a-3p (#1019, logFC=0.062); hsa-miR-143-3p (#970, logFC=0.068); hsa-miR-195-5p (#1118, logFC=0.049); hsa-miR-155-5p (#871, logFC=0.081); hsa-miR-15a-5p (#1138, logFC=0.047); hsa-miR-125a-5p (#1205, logFC=0.039); hsa-miR-409-3p (#1211, logFC=0.038); hsa-miR-7-5p (#1180, logFC=0.041); hsa-miR-101-3p (#1477, logFC=-0.010); hsa-miR-145-5p (#1461, logFC=-0.011); hsa-miR-139-5p (#1340, logFC=-0.022); hsa-miR-29b-3p (#1169, logFC=-0.042); hsa-miR-146b-5p (#1101, logFC=-0.051); hsa-miR-146a-5p (#1010, logFC=-0.063); hsa-miR-15b-5p (#83, logFC=-0.319)"
"EDAD_cont_10y","KEGG (miRPathDB)","TNF signaling pathway","enriched",0.000683836572222222,29,"hsa-miR-451a (#33, logFC=0.399); hsa-miR-221-3p (#284, logFC=0.196); hsa-miR-34a-5p (#511, logFC=0.137); hsa-miR-9-3p (#352, logFC=0.182); hsa-miR-223-3p (#538, logFC=0.133); hsa-miR-196b-5p (#347, logFC=0.183); hsa-miR-204-5p (#411, logFC=0.160); hsa-miR-708-5p (#776, logFC=0.093); hsa-miR-126-3p (#747, logFC=0.099); hsa-miR-125b-5p (#962, logFC=0.070); hsa-miR-29a-3p (#1019, logFC=0.062); hsa-miR-143-3p (#970, logFC=0.068); hsa-miR-155-5p (#871, logFC=0.081); hsa-miR-15a-5p (#1138, logFC=0.047); hsa-miR-125a-5p (#1205, logFC=0.039); hsa-miR-29c-3p (#1104, logFC=0.051); hsa-miR-21-5p (#1182, logFC=0.041); hsa-miR-7-5p (#1180, logFC=0.041); hsa-miR-664a-3p (#1392, logFC=0.017); hsa-miR-124-3p (#1556, logFC=0.001); hsa-miR-101-3p (#1477, logFC=-0.010); hsa-miR-139-5p (#1340, logFC=-0.022); hsa-miR-128-3p (#1324, logFC=-0.024); hsa-miR-138-5p (#1216, logFC=-0.038); hsa-miR-29b-3p (#1169, logFC=-0.042); hsa-miR-146a-5p (#1010, logFC=-0.063); hsa-miR-98-5p (#940, logFC=-0.072); hsa-miR-887-3p (#314, logFC=-0.189); hsa-miR-199a-3p (#108, logFC=-0.292)"
"EDAD_cont_10y","KEGG (miRPathDB)","Shigellosis","enriched",0.0012469,17,"hsa-miR-451a (#33, logFC=0.399); hsa-miR-148a-3p (#107, logFC=0.292); hsa-miR-144-5p (#180, logFC=0.242); hsa-miR-34a-5p (#511, logFC=0.137); hsa-miR-9-3p (#352, logFC=0.182); hsa-miR-223-3p (#538, logFC=0.133); hsa-miR-135a-5p (#380, logFC=0.170); hsa-miR-126-3p (#747, logFC=0.099); hsa-miR-29a-3p (#1019, logFC=0.062); hsa-miR-320b (#714, logFC=0.104); hsa-miR-195-5p (#1118, logFC=0.049); hsa-miR-15a-5p (#1138, logFC=0.047); hsa-miR-125a-5p (#1205, logFC=0.039); hsa-miR-124-3p (#1556, logFC=0.001); hsa-miR-138-5p (#1216, logFC=-0.038); hsa-miR-146a-5p (#1010, logFC=-0.063); hsa-let-7b-5p (#509, logFC=-0.137)"
"EDAD_cont_10y","KEGG (miRPathDB)","Leukocyte transendothelial migration","enriched",0.0027571,17,"hsa-miR-451a (#33, logFC=0.399); hsa-miR-221-3p (#284, logFC=0.196); hsa-miR-144-5p (#180, logFC=0.242); hsa-miR-9-3p (#352, logFC=0.182); hsa-miR-486-5p (#215, logFC=0.227); hsa-miR-204-5p (#411, logFC=0.160); hsa-miR-126-3p (#747, logFC=0.099); hsa-miR-29a-3p (#1019, logFC=0.062); hsa-miR-143-3p (#970, logFC=0.068); hsa-miR-155-5p (#871, logFC=0.081); hsa-miR-23a-3p (#1354, logFC=0.020); hsa-miR-124-3p (#1556, logFC=0.001); hsa-miR-101-3p (#1477, logFC=-0.010); hsa-miR-145-5p (#1461, logFC=-0.011); hsa-miR-139-5p (#1340, logFC=-0.022); hsa-miR-29b-3p (#1169, logFC=-0.042); hsa-miR-146a-5p (#1010, logFC=-0.063)"
"EDAD_cont_10y","KEGG (miRPathDB)","mTOR signaling pathway","enriched",0.0027629,30,"hsa-miR-451a (#33, logFC=0.399); hsa-miR-27a-3p (#300, logFC=0.191); hsa-miR-34a-5p (#511, logFC=0.137); hsa-miR-9-3p (#352, logFC=0.182); hsa-miR-424-5p (#228, logFC=0.221); hsa-miR-378a-3p (#620, logFC=0.120); hsa-miR-497-5p (#588, logFC=0.124); hsa-miR-196b-5p (#347, logFC=0.183); hsa-miR-126-3p (#747, logFC=0.099); hsa-miR-125b-5p (#962, logFC=0.070); hsa-miR-29a-3p (#1019, logFC=0.062); hsa-miR-22-3p (#1018, logFC=0.062); hsa-miR-143-3p (#970, logFC=0.068); hsa-miR-195-5p (#1118, logFC=0.049); hsa-miR-155-5p (#871, logFC=0.081); hsa-miR-125a-5p (#1205, logFC=0.039); hsa-miR-29c-3p (#1104, logFC=0.051); hsa-miR-21-5p (#1182, logFC=0.041); hsa-miR-7-5p (#1180, logFC=0.041); hsa-miR-101-3p (#1477, logFC=-0.010); hsa-miR-145-5p (#1461, logFC=-0.011); hsa-miR-128-3p (#1324, logFC=-0.024); hsa-miR-138-5p (#1216, logFC=-0.038); hsa-miR-29b-3p (#1169, logFC=-0.042); hsa-miR-152-3p (#1170, logFC=-0.042); hsa-miR-744-5p (#955, logFC=-0.071); hsa-miR-107 (#297, logFC=-0.192); hsa-miR-199a-3p (#108, logFC=-0.292); hsa-miR-15b-5p (#83, logFC=-0.319); hsa-miR-17-5p (#2, logFC=-0.895)"
