Category	Subcategory	Enrichment	P-value	P-adjusted	Q-value	Observed	miRNAs/precursors	database	cluster	cluster_rep	reduction_method
Reactome (miRPathDB)	Gene Silencing by RNA	depleted	0.0740191	0.2314605	0.2314605	51	hsa-miR-6748-5p; hsa-miR-6125; hsa-miR-3619-3p; hsa-miR-363-5p; hsa-miR-6766-5p; hsa-miR-382-3p; hsa-miR-221-3p; hsa-miR-92b-5p; hsa-miR-760; hsa-miR-671-5p; hsa-miR-99a-5p; hsa-miR-98-5p; hsa-miR-152-3p; hsa-miR-34a-5p; hsa-miR-185-5p; hsa-miR-148a-3p; hsa-miR-6745; hsa-miR-1276; hsa-miR-328-3p; hsa-miR-615-3p; hsa-miR-138-5p; hsa-miR-6750-5p; hsa-miR-4483; hsa-miR-6793-5p; hsa-miR-652-3p; hsa-miR-93-5p; hsa-miR-629-5p; hsa-miR-1180-3p; hsa-miR-324-5p; hsa-miR-186-5p; hsa-miR-628-3p; hsa-miR-15a-5p; hsa-miR-4766-5p; hsa-miR-4507; hsa-miR-424-5p; hsa-miR-455-5p; hsa-miR-16-5p; hsa-miR-497-5p; hsa-miR-330-3p; hsa-miR-423-3p; hsa-miR-107; hsa-miR-582-5p; hsa-let-7a-5p; hsa-miR-15b-5p; hsa-miR-296-3p; hsa-miR-744-5p; hsa-miR-299-5p; hsa-let-7b-5p; hsa-miR-31-3p; hsa-miR-323a-3p; hsa-miR-31-5p	Reactome	117	TRUE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Generic Transcription Pathway	depleted	2.42362e-11	1.060576112e-07	1.060576112e-07	215	hsa-miR-6503-5p; hsa-miR-96-5p; hsa-miR-579-3p; hsa-miR-182-5p; hsa-let-7f-2-3p; hsa-miR-101-5p; hsa-miR-3191-5p; hsa-miR-21-5p; hsa-miR-1185-2-3p; hsa-miR-6797-3p; hsa-miR-6766-5p; hsa-miR-6853-3p; hsa-miR-382-3p; hsa-miR-1287-5p; hsa-miR-10b-5p; hsa-miR-301b-5p; hsa-miR-3616-3p; hsa-miR-100-5p; hsa-miR-125b-5p; hsa-miR-488-5p; hsa-miR-221-3p; hsa-miR-509-3p; hsa-miR-301a-3p; hsa-miR-223-3p; hsa-miR-301a-5p; hsa-miR-708-5p; hsa-miR-760; hsa-miR-671-5p; hsa-miR-155-5p; hsa-miR-193b-3p; hsa-miR-135a-5p; hsa-miR-216b-5p; hsa-miR-222-3p; hsa-miR-770-5p; hsa-miR-1261; hsa-miR-98-5p; hsa-miR-152-3p; hsa-miR-766-5p; hsa-miR-200b-3p; hsa-miR-22-3p; hsa-miR-1185-1-3p; hsa-miR-452-5p; hsa-miR-21-3p; hsa-miR-429; hsa-miR-3064-3p; hsa-miR-144-5p; hsa-miR-6820-5p; hsa-miR-34a-5p; hsa-miR-185-5p; hsa-miR-212-3p; hsa-miR-33b-5p; hsa-miR-148a-3p; hsa-miR-29b-3p; hsa-miR-125b-1-3p; hsa-miR-29a-3p; hsa-miR-197-3p; hsa-miR-1276; hsa-miR-130b-3p; hsa-miR-454-3p; hsa-miR-346; hsa-miR-376b-3p; hsa-miR-675-5p; hsa-let-7a-3p; hsa-miR-5694; hsa-miR-586; hsa-miR-200a-5p; hsa-miR-615-3p; hsa-miR-503-5p; hsa-miR-138-5p; hsa-miR-19a-3p; hsa-miR-30a-5p; hsa-miR-181b-5p; hsa-miR-376a-3p; hsa-miR-518e-5p; hsa-miR-519e-5p; hsa-miR-5696; hsa-miR-518f-5p; hsa-miR-520c-5p; hsa-miR-519d-3p; hsa-miR-523-5p; hsa-miR-4483; hsa-miR-519a-5p; hsa-miR-519c-5p; hsa-miR-518d-5p; hsa-miR-526b-3p; hsa-miR-6855-3p; hsa-miR-30a-3p; hsa-miR-652-3p; hsa-miR-93-5p; hsa-miR-33a-5p; hsa-miR-425-3p; hsa-miR-106a-5p; hsa-miR-629-5p; hsa-miR-425-5p; hsa-miR-664b-3p; hsa-miR-892b; hsa-miR-154-5p; hsa-miR-324-5p; hsa-miR-30e-3p; hsa-miR-133b; hsa-miR-196a-5p; hsa-miR-186-5p; hsa-miR-628-3p; hsa-miR-15a-5p; hsa-miR-106b-5p; hsa-miR-146a-5p; hsa-miR-505-5p; hsa-miR-483-3p; hsa-miR-6069; hsa-miR-302b-3p; hsa-miR-29c-3p; hsa-miR-4766-5p; hsa-miR-30d-3p; hsa-miR-203a-3p; hsa-let-7f-5p; hsa-miR-219a-1-3p; hsa-miR-484; hsa-miR-1179; hsa-miR-3144-3p; hsa-miR-584-5p; hsa-miR-134-5p; hsa-miR-449a; hsa-let-7c-5p; hsa-miR-4507; hsa-miR-23a-3p; hsa-miR-590-5p; hsa-miR-424-5p; hsa-miR-34a-3p; hsa-miR-550a-3p; hsa-miR-126-3p; hsa-miR-133a-3p; hsa-miR-27a-3p; hsa-miR-16-5p; hsa-miR-200a-3p; hsa-miR-92a-3p; hsa-miR-497-5p; hsa-miR-224-5p; hsa-miR-125a-5p; hsa-miR-18a-5p; hsa-miR-19b-3p; hsa-let-7g-5p; hsa-miR-301b-3p; hsa-miR-320b; hsa-miR-181a-5p; hsa-miR-503-3p; hsa-miR-27b-3p; hsa-miR-103a-3p; hsa-miR-378a-3p; hsa-miR-504-5p; hsa-miR-140-5p; hsa-miR-320c; hsa-miR-491-5p; hsa-miR-543; hsa-miR-194-5p; hsa-miR-92a-1-5p; hsa-miR-20a-5p; hsa-miR-199a-5p; hsa-miR-766-3p; hsa-miR-629-3p; hsa-miR-130a-5p; hsa-miR-30c-5p; hsa-miR-20b-5p; hsa-miR-200c-3p; hsa-miR-423-3p; hsa-miR-181c-5p; hsa-miR-522-5p; hsa-miR-519b-5p; hsa-miR-524-5p; hsa-miR-143-3p; hsa-miR-107; hsa-miR-17-5p; hsa-miR-199b-5p; hsa-miR-26a-5p; hsa-miR-149-5p; hsa-miR-515-5p; hsa-miR-23c; hsa-miR-195-5p; hsa-miR-548t-3p; hsa-let-7a-5p; hsa-miR-184; hsa-miR-654-3p; hsa-miR-15b-5p; hsa-miR-23b-3p; hsa-miR-205-5p; hsa-miR-296-3p; hsa-let-7e-5p; hsa-miR-485-3p; hsa-miR-17-3p; hsa-miR-361-5p; hsa-miR-548aa; hsa-miR-98-3p; hsa-miR-130a-3p; hsa-miR-34b-5p; hsa-miR-487b-3p; hsa-miR-24-3p; hsa-miR-744-5p; hsa-miR-34c-5p; hsa-let-7b-5p; hsa-miR-30b-5p; hsa-miR-214-3p; hsa-miR-1297; hsa-miR-101-3p; hsa-miR-33a-3p; hsa-miR-494-3p; hsa-miR-574-3p; hsa-miR-206; hsa-miR-145-5p; hsa-miR-376c-3p; hsa-let-7d-5p; hsa-miR-34b-3p; hsa-miR-493-3p; hsa-miR-331-5p; hsa-miR-199a-3p; hsa-miR-323a-3p; hsa-miR-31-5p	Reactome	119	TRUE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Glycolysis	depleted	0.0420263	0.1761562	0.1761562	13	hsa-miR-96-5p; hsa-miR-125b-5p; hsa-miR-615-3p; hsa-miR-376a-2-5p; hsa-miR-652-3p; hsa-miR-93-5p; hsa-miR-324-5p; hsa-miR-18a-3p; hsa-miR-125a-5p; hsa-miR-423-3p; hsa-miR-184; hsa-miR-17-3p; hsa-miR-331-3p	Reactome	120	TRUE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Golgi-to-ER retrograde transport	depleted	0.529265	0.5528918	0.5528918	15	hsa-miR-6853-3p; hsa-miR-215-5p; hsa-miR-6760-5p; hsa-miR-193b-3p; hsa-miR-34a-5p; hsa-miR-503-5p; hsa-miR-30a-5p; hsa-miR-4524b-5p; hsa-miR-15a-5p; hsa-miR-4524a-5p; hsa-miR-16-5p; hsa-miR-92a-3p; hsa-miR-30c-5p; hsa-miR-195-5p; hsa-miR-15b-5p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Growth hormone receptor signaling	enriched	0.349095	0.4372806	0.4372806	15	hsa-miR-5581-3p; hsa-miR-221-3p; hsa-miR-223-3p; hsa-miR-371b-3p; hsa-miR-135a-5p; hsa-miR-152-3p; hsa-miR-9-3p; hsa-miR-29b-1-5p; hsa-miR-19a-3p; hsa-miR-584-5p; hsa-miR-550a-3p; hsa-miR-181a-5p; hsa-miR-1181; hsa-miR-6846-3p; hsa-miR-145-5p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	HIV Infection	depleted	0.0032658	0.0386252	0.0386252	22	hsa-miR-1200; hsa-miR-193b-3p; hsa-miR-624-5p; hsa-miR-615-3p; hsa-miR-96-3p; hsa-miR-376a-2-5p; hsa-miR-652-3p; hsa-miR-1180-3p; hsa-miR-324-5p; hsa-miR-186-5p; hsa-miR-15a-5p; hsa-miR-484; hsa-miR-324-3p; hsa-miR-16-5p; hsa-miR-92a-3p; hsa-miR-224-5p; hsa-miR-423-3p; hsa-miR-195-5p; hsa-miR-15b-5p; hsa-miR-331-3p; hsa-miR-31-3p; hsa-miR-31-5p	Reactome	122	TRUE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	HSF1 activation	depleted	0.269273	0.3998715	0.3998715	15	hsa-miR-5581-3p; hsa-miR-100-5p; hsa-miR-221-3p; hsa-miR-760; hsa-miR-615-3p; hsa-miR-138-5p; hsa-miR-6750-5p; hsa-miR-186-5p; hsa-miR-484; hsa-miR-550a-3p; hsa-miR-1226-3p; hsa-miR-92a-3p; hsa-miR-149-5p; hsa-miR-296-3p; hsa-miR-361-5p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	HSP90 chaperone cycle for steroid hormone receptors SHR	depleted	0.0016186	0.0241323	0.0241323	23	hsa-miR-6853-3p; hsa-miR-22-3p; hsa-miR-328-3p; hsa-miR-503-5p; hsa-miR-6750-5p; hsa-miR-4524b-5p; hsa-miR-93-5p; hsa-miR-425-3p; hsa-miR-15a-5p; hsa-miR-484; hsa-miR-424-5p; hsa-miR-550a-3p; hsa-miR-4524a-5p; hsa-miR-16-5p; hsa-miR-92a-3p; hsa-miR-497-5p; hsa-miR-378a-3p; hsa-miR-149-5p; hsa-miR-582-5p; hsa-miR-195-5p; hsa-miR-15b-5p; hsa-miR-361-5p; hsa-miR-34c-5p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Hemostasis	depleted	0.124898	0.2878113	0.2878113	40	hsa-miR-6821-5p; hsa-miR-585-3p; hsa-miR-193a-3p; hsa-miR-3191-5p; hsa-miR-3181; hsa-miR-671-5p; hsa-miR-155-5p; hsa-miR-135a-5p; hsa-miR-200b-3p; hsa-miR-365a-3p; hsa-miR-34a-5p; hsa-miR-1268b; hsa-miR-9-3p; hsa-miR-29b-3p; hsa-miR-29a-3p; hsa-miR-1-3p; hsa-miR-663a; hsa-miR-891a-5p; hsa-miR-19a-3p; hsa-miR-30a-3p; hsa-miR-106a-5p; hsa-miR-451a; hsa-miR-15a-5p; hsa-miR-126-3p; hsa-miR-16-5p; hsa-miR-200a-3p; hsa-miR-224-5p; hsa-miR-125a-5p; hsa-miR-1268a; hsa-miR-199a-5p; hsa-miR-200c-3p; hsa-miR-6846-3p; hsa-miR-143-3p; hsa-miR-195-5p; hsa-miR-184; hsa-miR-15b-5p; hsa-miR-23b-3p; hsa-miR-17-3p; hsa-miR-218-5p; hsa-miR-493-3p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	IRAK2 mediated activation of TAK1 complex	depleted	0.229908	0.3844758	0.3844758	11	hsa-miR-301a-3p; hsa-miR-130b-3p; hsa-miR-454-3p; hsa-miR-488-3p; hsa-miR-615-3p; hsa-miR-892b; hsa-miR-146a-5p; hsa-miR-301b-3p; hsa-miR-653-5p; hsa-miR-23b-3p; hsa-miR-130a-3p	Reactome	127	TRUE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	IRE1alpha activates chaperones	enriched	0.555712	0.5749606	0.5749606	11	hsa-miR-193a-3p; hsa-miR-190a-5p; hsa-miR-3691-5p; hsa-miR-6090; hsa-miR-29b-3p; hsa-miR-615-3p; hsa-miR-15a-5p; hsa-miR-6726-5p; hsa-miR-543; hsa-miR-423-3p; hsa-miR-127-3p	Reactome	31	TRUE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Infectious disease	depleted	0.000640599	0.0134172	0.0134172	44	hsa-miR-92b-3p; hsa-miR-100-5p; hsa-miR-125b-5p; hsa-miR-760; hsa-miR-193b-3p; hsa-miR-99a-5p; hsa-miR-34a-5p; hsa-miR-877-3p; hsa-miR-296-5p; hsa-miR-624-5p; hsa-miR-615-3p; hsa-miR-421; hsa-miR-181b-5p; hsa-miR-96-3p; hsa-miR-376a-2-5p; hsa-miR-652-3p; hsa-miR-1180-3p; hsa-miR-324-5p; hsa-miR-186-5p; hsa-miR-15a-5p; hsa-miR-505-5p; hsa-miR-484; hsa-miR-18a-3p; hsa-miR-550a-3p; hsa-miR-324-3p; hsa-miR-16-5p; hsa-miR-92a-3p; hsa-miR-224-5p; hsa-miR-877-5p; hsa-miR-139-5p; hsa-miR-1250-5p; hsa-miR-423-3p; hsa-miR-149-5p; hsa-miR-195-5p; hsa-let-7a-5p; hsa-miR-15b-5p; hsa-miR-296-3p; hsa-miR-331-3p; hsa-miR-744-5p; hsa-miR-31-3p; hsa-miR-1296-5p; hsa-miR-574-3p; hsa-miR-218-5p; hsa-miR-31-5p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Innate Immune System	depleted	0.0993085	0.2660386	0.2660386	29	hsa-miR-301a-3p; hsa-miR-155-5p; hsa-miR-200b-3p; hsa-miR-429; hsa-miR-34a-5p; hsa-miR-148a-3p; hsa-miR-454-3p; hsa-miR-99a-3p; hsa-miR-208b-3p; hsa-miR-30a-5p; hsa-miR-6750-5p; hsa-miR-2681-5p; hsa-miR-1178-3p; hsa-miR-451a; hsa-miR-146a-5p; hsa-miR-208a-3p; hsa-miR-126-3p; hsa-miR-324-3p; hsa-miR-133a-3p; hsa-miR-301b-3p; hsa-miR-139-5p; hsa-miR-30c-5p; hsa-miR-200c-3p; hsa-miR-423-3p; hsa-miR-524-3p; hsa-miR-23b-3p; hsa-miR-361-5p; hsa-miR-130a-3p; hsa-miR-99b-3p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Insulin-like Growth Factor-2 mRNA Binding Proteins IGF2BPsIMPsVICKZs bind RNA	depleted	0.0215167	0.1229676	0.1229676	19	hsa-miR-196b-5p; hsa-miR-100-5p; hsa-miR-98-5p; hsa-miR-429; hsa-miR-34a-5p; hsa-miR-33b-5p; hsa-miR-33a-5p; hsa-miR-196a-5p; hsa-let-7c-5p; hsa-let-7g-5p; hsa-miR-320b; hsa-miR-378a-3p; hsa-miR-877-5p; hsa-let-7a-5p; hsa-let-7e-5p; hsa-miR-744-5p; hsa-let-7b-5p; hsa-miR-145-5p; hsa-let-7d-5p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Interactions of Rev with host cellular proteins	depleted	0.0020603	0.0280721	0.0280721	18	hsa-miR-125b-5p; hsa-miR-193b-3p; hsa-miR-664a-3p; hsa-miR-376a-2-5p; hsa-miR-30a-3p; hsa-miR-652-3p; hsa-miR-93-5p; hsa-miR-324-5p; hsa-miR-186-5p; hsa-miR-18a-3p; hsa-miR-34a-3p; hsa-miR-16-5p; hsa-miR-92a-3p; hsa-miR-423-3p; hsa-miR-149-5p; hsa-miR-15b-5p; hsa-miR-31-3p; hsa-miR-31-5p	Reactome	97	TRUE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Interleukin-12 signaling	depleted	3.68005e-05	0.0015714	0.0015714	24	hsa-miR-378f; hsa-miR-200b-3p; hsa-miR-1-3p; hsa-miR-200a-5p; hsa-miR-615-3p; hsa-miR-378i; hsa-miR-129-1-3p; hsa-miR-133a-3p; hsa-miR-16-5p; hsa-miR-224-5p; hsa-miR-503-3p; hsa-miR-668-3p; hsa-miR-378a-3p; hsa-miR-130a-5p; hsa-miR-30c-5p; hsa-miR-200c-3p; hsa-miR-524-5p; hsa-miR-23c; hsa-miR-129-2-3p; hsa-miR-15b-5p; hsa-miR-23b-3p; hsa-miR-378e; hsa-miR-378d; hsa-miR-206	Reactome	118	TRUE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Interleukin-17 signaling	depleted	0.0993085	0.2660386	0.2660386	29	hsa-miR-579-3p; hsa-miR-2114-5p; hsa-miR-146b-5p; hsa-miR-21-5p; hsa-miR-6510-5p; hsa-miR-6760-5p; hsa-miR-200b-3p; hsa-miR-185-5p; hsa-miR-9-3p; hsa-miR-624-5p; hsa-miR-138-5p; hsa-miR-5696; hsa-miR-1178-3p; hsa-miR-451a; hsa-miR-664b-3p; hsa-miR-892b; hsa-miR-15a-5p; hsa-miR-146a-5p; hsa-miR-584-5p; hsa-miR-550a-3p; hsa-miR-125a-5p; hsa-miR-320b; hsa-miR-668-3p; hsa-miR-139-5p; hsa-miR-15b-5p; hsa-miR-214-3p; hsa-miR-145-5p; hsa-miR-493-3p; hsa-miR-135b-5p	Reactome	133	TRUE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Interleukin-1 signaling	depleted	0.145036	0.3114982	0.3114982	11	hsa-miR-146b-5p; hsa-miR-887-3p; hsa-miR-6760-5p; hsa-miR-1276; hsa-miR-892b; hsa-miR-324-5p; hsa-miR-146a-5p; hsa-miR-92a-3p; hsa-miR-653-5p; hsa-miR-423-3p; hsa-miR-331-3p	Reactome	134	TRUE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Interleukin-37 signaling	depleted	0.0489873	0.1907192	0.1907192	11	hsa-miR-200b-3p; hsa-miR-429; hsa-miR-148a-3p; hsa-miR-29b-1-5p; hsa-miR-23a-3p; hsa-miR-590-5p; hsa-miR-200a-3p; hsa-miR-194-5p; hsa-miR-92a-1-5p; hsa-miR-200c-3p; hsa-miR-323a-3p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Interleukin-4 and Interleukin-13 signaling	depleted	4.14111e-06	0.000323598167142857	0.000323598167142857	100	hsa-miR-96-5p; hsa-miR-1909-3p; hsa-miR-3619-3p; hsa-miR-21-5p; hsa-miR-125b-5p; hsa-miR-221-3p; hsa-miR-223-3p; hsa-miR-335-5p; hsa-miR-16-1-3p; hsa-miR-708-5p; hsa-miR-155-5p; hsa-miR-135a-5p; hsa-miR-222-3p; hsa-miR-98-5p; hsa-miR-152-3p; hsa-miR-200b-3p; hsa-miR-22-3p; hsa-miR-429; hsa-miR-365a-3p; hsa-miR-34a-5p; hsa-miR-33b-5p; hsa-miR-148a-3p; hsa-miR-29b-3p; hsa-miR-9-5p; hsa-miR-125b-1-3p; hsa-miR-29a-3p; hsa-miR-29b-1-5p; hsa-miR-663a; hsa-miR-503-5p; hsa-miR-138-5p; hsa-miR-19a-3p; hsa-miR-4804-5p; hsa-miR-1277-3p; hsa-miR-302a-5p; hsa-miR-466; hsa-miR-4524b-5p; hsa-miR-4483; hsa-miR-519e-3p; hsa-miR-448; hsa-miR-93-5p; hsa-miR-33a-5p; hsa-miR-126-5p; hsa-miR-106a-5p; hsa-miR-339-3p; hsa-miR-451a; hsa-miR-892b; hsa-miR-133b; hsa-miR-186-5p; hsa-miR-15a-5p; hsa-miR-146a-5p; hsa-miR-29c-3p; hsa-miR-203a-3p; hsa-miR-134-5p; hsa-miR-449a; hsa-let-7c-5p; hsa-miR-23a-3p; hsa-miR-34a-3p; hsa-miR-126-3p; hsa-miR-133a-3p; hsa-miR-4524a-5p; hsa-miR-4677-3p; hsa-miR-16-5p; hsa-miR-200a-3p; hsa-miR-497-5p; hsa-miR-125a-5p; hsa-let-7g-5p; hsa-miR-181a-5p; hsa-miR-503-3p; hsa-miR-378a-3p; hsa-miR-140-5p; hsa-miR-1181; hsa-miR-95-3p; hsa-miR-139-5p; hsa-miR-199a-5p; hsa-miR-625-3p; hsa-miR-30c-5p; hsa-miR-200c-3p; hsa-miR-143-3p; hsa-miR-107; hsa-miR-17-5p; hsa-miR-26a-5p; hsa-miR-582-5p; hsa-miR-195-5p; hsa-miR-184; hsa-miR-654-3p; hsa-miR-15b-5p; hsa-miR-205-5p; hsa-miR-515-3p; hsa-miR-34c-5p; hsa-miR-214-3p; hsa-miR-101-3p; hsa-miR-495-3p; hsa-miR-494-3p; hsa-miR-574-3p; hsa-miR-206; hsa-miR-145-5p; hsa-miR-34b-3p; hsa-miR-199a-3p; hsa-miR-323a-3p; hsa-miR-135b-5p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Interleukin-6 family signaling	depleted	0.259438	0.3998715	0.3998715	12	hsa-miR-125b-5p; hsa-miR-4473; hsa-miR-223-3p; hsa-miR-98-5p; hsa-miR-346; hsa-miR-451a; hsa-miR-203a-3p; hsa-miR-125a-5p; hsa-miR-653-5p; hsa-miR-30c-5p; hsa-miR-124-3p; hsa-miR-331-5p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Interleukin-6 signaling	depleted	0.107188	0.2730237	0.2730237	12	hsa-miR-125b-5p; hsa-miR-4473; hsa-miR-223-3p; hsa-miR-155-5p; hsa-miR-126-5p; hsa-miR-451a; hsa-miR-146a-5p; hsa-miR-203a-3p; hsa-let-7c-5p; hsa-miR-23a-3p; hsa-miR-653-5p; hsa-miR-124-3p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Intra-Golgi and retrograde Golgi-to-ER traffic	depleted	0.0276929	0.1429901	0.1429901	15	hsa-miR-193b-3p; hsa-miR-34a-5p; hsa-miR-148a-3p; hsa-miR-142-3p; hsa-miR-130b-3p; hsa-miR-186-5p; hsa-miR-15a-5p; hsa-miR-16-5p; hsa-miR-92a-3p; hsa-miR-103a-3p; hsa-miR-30c-5p; hsa-miR-149-5p; hsa-miR-195-5p; hsa-miR-15b-5p; hsa-miR-1296-5p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Intrinsic Pathway for Apoptosis	depleted	0.0833878	0.2431889	0.2431889	63	hsa-miR-193a-3p; hsa-miR-21-5p; hsa-miR-6766-5p; hsa-miR-10b-5p; hsa-miR-125b-5p; hsa-miR-221-3p; hsa-miR-223-3p; hsa-miR-708-5p; hsa-miR-193b-3p; hsa-miR-222-3p; hsa-miR-200b-3p; hsa-miR-22-3p; hsa-miR-429; hsa-miR-193a-5p; hsa-miR-365a-3p; hsa-miR-34a-5p; hsa-miR-33b-5p; hsa-miR-148a-3p; hsa-miR-9-3p; hsa-miR-29b-3p; hsa-miR-29a-3p; hsa-miR-1276; hsa-miR-138-5p; hsa-miR-208b-3p; hsa-miR-30a-5p; hsa-miR-660-5p; hsa-miR-302a-5p; hsa-miR-934; hsa-miR-519d-3p; hsa-miR-1178-3p; hsa-miR-1233-5p; hsa-miR-30a-3p; hsa-miR-33a-5p; hsa-miR-106a-5p; hsa-miR-629-5p; hsa-miR-451a; hsa-miR-30e-3p; hsa-miR-106b-5p; hsa-miR-29c-3p; hsa-miR-208a-3p; hsa-miR-30d-3p; hsa-miR-584-5p; hsa-miR-550a-3p; hsa-miR-126-3p; hsa-miR-224-5p; hsa-miR-125a-5p; hsa-let-7g-5p; hsa-miR-181a-5p; hsa-miR-20a-5p; hsa-miR-20b-5p; hsa-miR-200c-3p; hsa-miR-423-3p; hsa-miR-143-3p; hsa-miR-17-5p; hsa-let-7a-5p; hsa-miR-184; hsa-miR-15b-5p; hsa-miR-205-5p; hsa-let-7e-5p; hsa-miR-24-3p; hsa-miR-214-3p; hsa-miR-494-3p; hsa-miR-34b-3p	Reactome	7	TRUE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	KSRP KHSRP binds and destabilizes mRNA	enriched	0.619466	0.626481	0.626481	11	hsa-miR-579-3p; hsa-miR-125b-5p; hsa-miR-374c-3p; hsa-miR-22-3p; hsa-miR-1276; hsa-miR-5696; hsa-miR-30a-3p; hsa-miR-27a-3p; hsa-miR-378a-3p; hsa-miR-24-3p; hsa-miR-206	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	L1CAM interactions	depleted	0.11396	0.2781071	0.2781071	15	hsa-miR-6766-5p; hsa-miR-152-3p; hsa-miR-34a-5p; hsa-miR-148a-3p; hsa-miR-9-3p; hsa-miR-503-5p; hsa-miR-4471; hsa-miR-448; hsa-miR-224-5p; hsa-miR-6846-3p; hsa-miR-518b; hsa-miR-205-5p; hsa-miR-331-3p; hsa-miR-214-3p; hsa-miR-574-3p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Late Phase of HIV Life Cycle	depleted	0.0043068	0.0466497	0.0466497	14	hsa-miR-664a-3p; hsa-miR-615-3p; hsa-miR-376a-2-5p; hsa-miR-652-3p; hsa-miR-1180-3p; hsa-miR-324-5p; hsa-miR-15a-5p; hsa-miR-484; hsa-miR-16-5p; hsa-miR-423-3p; hsa-miR-195-5p; hsa-miR-15b-5p; hsa-let-7b-5p; hsa-miR-31-3p	Reactome	123	TRUE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Listeria monocytogenes entry into host cells	depleted	0.0186454	0.1137968	0.1137968	10	hsa-miR-541-5p; hsa-miR-34a-5p; hsa-miR-488-3p; hsa-miR-34a-3p; hsa-miR-200a-3p; hsa-miR-301b-3p; hsa-miR-653-5p; hsa-miR-877-5p; hsa-miR-433-3p; hsa-miR-130a-3p	Reactome	NA	FALSE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	Loss of Function of SMAD4 in Cancer	depleted	3.42617e-06	0.000285579427047619	0.000285579427047619	12	hsa-miR-146a-5p; hsa-miR-203a-3p; hsa-miR-27a-3p; hsa-miR-200a-3p; hsa-miR-125a-5p; hsa-miR-18a-5p; hsa-miR-27b-3p; hsa-miR-199a-5p; hsa-miR-15b-5p; hsa-miR-205-5p; hsa-miR-145-5p; hsa-miR-323a-3p	Reactome	144	TRUE	Jaccard_hclust_average_t0.50
Reactome (miRPathDB)	MAPK1MAPK3 signaling	depleted	0.0033458	0.0394637	0.0394637	21	hsa-miR-585-3p; hsa-miR-125b-5p; hsa-miR-135a-5p; hsa-miR-1268b; hsa-miR-29b-3p; hsa-miR-1277-3p; hsa-miR-451a; hsa-miR-186-5p; hsa-miR-483-3p; hsa-miR-126-3p; hsa-miR-200a-3p; hsa-miR-653-5p; hsa-miR-1268a; hsa-miR-140-5p; hsa-miR-139-5p; hsa-miR-200c-3p; hsa-miR-143-3p; hsa-miR-433-3p; hsa-miR-331-3p; hsa-miR-145-5p; hsa-miR-31-5p	Reactome	101	TRUE	Jaccard_hclust_average_t0.50
